plu,campaign,clasificacion,TIPO_PRENDA,color_comercial,codigo_color,TALLA_EDAD,grupo_articulo,dda,fac,precio,upe,color
990338,2,Moda,CAMISETA,Amarillo,Azul 19-4125,2 to 5 years,CAMISETA,28.0,28,29990.0,8.411136344520145e-05,Yellow
990339,2,Moda,CAMISETA,Amarillo,Rojo 18-1660,2 to 5 years,CAMISETA,56.0,56,29990.0,8.263572549002248e-05,Yellow
990340,2,Moda,CAMISETA,Amarillo,Amarillo 12-0740,2 to 5 years,CAMISETA,62.0,62,29990.0,8.277626243813476e-05,Yellow
990341,2,Moda,CAMISETA,Amarillo,Azul 19-4125,2 to 5 years,CAMISETA,47.0,47,29990.0,8.593987134618408e-05,Yellow
990342,2,Moda,CAMISETA,Amarillo,Rojo 18-1660,2 to 5 years,CAMISETA,90.0,90,29990.0,8.505643494458574e-05,Yellow
990343,2,Moda,CAMISETA,Amarillo,Amarillo 12-0740,2 to 5 years,CAMISETA,89.0,89,29990.0,8.226276205080141e-05,Yellow
990344,2,Moda,CAMISETA,Amarillo,Azul 19-4125,2 to 5 years,CAMISETA,89.0,89,29990.0,8.136860159372748e-05,Yellow
990345,2,Moda,CAMISETA,Amarillo,Rojo 18-1660,2 to 5 years,CAMISETA,148.0,148,29990.0,8.29898785992657e-05,Yellow
990346,2,Moda,CAMISETA,Amarillo,Amarillo 12-0740,2 to 5 years,CAMISETA,125.0,125,29990.0,7.905203331315947e-05,Yellow
990347,2,Moda,CAMISETA,Amarillo,Azul 19-4125,2 to 5 years,CAMISETA,121.0,121,29990.0,8.481229147391167e-05,Yellow
990348,2,Moda,CAMISETA,Amarillo,Rojo 18-1660,2 to 5 years,CAMISETA,192.0,192,29990.0,8.682463323375667e-05,Yellow
990349,2,Moda,CAMISETA,Amarillo,Amarillo 12-0740,2 to 5 years,CAMISETA,158.0,158,29990.0,8.518971425860181e-05,Yellow
990350,2,Moda,CAMISETA,Amarillo,Azul 19-4125,2 to 5 years,CAMISETA,154.0,154,29990.0,8.5218091911586e-05,Yellow
990351,2,Moda,CAMISETA,Amarillo,Rojo 18-1660,2 to 5 years,CAMISETA,231.0,231,29990.0,8.48459605058587e-05,Yellow
990352,2,Moda,CAMISETA,Amarillo,Amarillo 12-0740,2 to 5 years,CAMISETA,213.0,213,29990.0,8.531295435156189e-05,Yellow
990365,2,Moda,CAMISETA,Azul,Azul 18-4043,2 to 5 years,CAMISETA,5.0,5,31990.0,8.411136344520145e-05,Blue
990366,2,Moda,CAMISETA,Azul,Blanco 10-0000,2 to 5 years,CAMISETA,13.0,13,31990.0,8.411136344520145e-05,Blue
990367,2,Moda,CAMISETA,Azul,Azul 18-4043,2 to 5 years,CAMISETA,6.0,6,31990.0,7.209545438160124e-05,Blue
990368,2,Moda,CAMISETA,Azul,Blanco 10-0000,2 to 5 years,CAMISETA,26.0,26,31990.0,8.74758179830095e-05,Blue
990369,2,Moda,CAMISETA,Azul,Azul 18-4043,2 to 5 years,CAMISETA,11.0,11,31990.0,8.411136344520145e-05,Blue
990370,2,Moda,CAMISETA,Azul,Blanco 10-0000,2 to 5 years,CAMISETA,64.0,64,31990.0,8.544646445226813e-05,Blue
990371,2,Moda,CAMISETA,Azul,Azul 18-4043,2 to 5 years,CAMISETA,9.0,9,31990.0,8.411136344520145e-05,Blue
990372,2,Moda,CAMISETA,Azul,Blanco 10-0000,2 to 5 years,CAMISETA,49.0,49,31990.0,8.586368351697647e-05,Blue
990373,2,Moda,CAMISETA,Azul,Azul 18-4043,2 to 5 years,CAMISETA,20.0,20,31990.0,8.411136344520145e-05,Blue
990374,2,Moda,CAMISETA,Azul,Blanco 10-0000,2 to 5 years,CAMISETA,57.0,57,31990.0,8.126013078604208e-05,Blue
990449,2,Moda,CAMISETA,Blanco,Blanco 10-0000,2 to 5 years,CAMISETA,73.0,38,27990.0,8.52795768263848e-05,White
990450,2,Moda,CAMISETA,Blanco,Violeta 17-3930,2 to 5 years,CAMISETA,20.0,20,27990.0,8.853827731073836e-05,White
990451,2,Moda,CAMISETA,Blanco,Rosado 16-2124,2 to 5 years,CAMISETA,31.0,31,27990.0,8.14828833375389e-05,White
990452,2,Moda,CAMISETA,Blanco,Verde 13-0220,2 to 5 years,CAMISETA,19.0,19,27990.0,7.990579527294137e-05,White
990453,2,Moda,CAMISETA,Blanco,Blanco 10-0000,2 to 5 years,CAMISETA,128.0,95,27990.0,8.544646445226839e-05,White
990454,2,Moda,CAMISETA,Blanco,Violeta 17-3930,2 to 5 years,CAMISETA,48.0,48,27990.0,8.239480500754428e-05,White
990455,2,Moda,CAMISETA,Blanco,Rosado 16-2124,2 to 5 years,CAMISETA,48.0,48,27990.0,8.074690890739339e-05,White
990456,2,Moda,CAMISETA,Blanco,Verde 13-0220,2 to 5 years,CAMISETA,58.0,58,27990.0,8.13076513303614e-05,White
990457,2,Moda,CAMISETA,Blanco,Blanco 10-0000,2 to 5 years,CAMISETA,182.0,182,27990.0,8.648739066116801e-05,White
990458,2,Moda,CAMISETA,Blanco,Violeta 17-3930,2 to 5 years,CAMISETA,60.0,60,27990.0,8.701175528813943e-05,White
990459,2,Moda,CAMISETA,Blanco,Rosado 16-2124,2 to 5 years,CAMISETA,70.0,70,27990.0,8.177493668283474e-05,White
990460,2,Moda,CAMISETA,Blanco,Verde 13-0220,2 to 5 years,CAMISETA,64.0,64,27990.0,8.411136344520145e-05,White
990461,2,Moda,CAMISETA,Blanco,Blanco 10-0000,2 to 5 years,CAMISETA,215.0,215,27990.0,8.490114150572022e-05,White
990462,2,Moda,CAMISETA,Blanco,Violeta 17-3930,2 to 5 years,CAMISETA,80.0,80,27990.0,8.738842955345605e-05,White
990463,2,Moda,CAMISETA,Blanco,Rosado 16-2124,2 to 5 years,CAMISETA,77.0,77,27990.0,8.303301263180142e-05,White
990464,2,Moda,CAMISETA,Blanco,Verde 13-0220,2 to 5 years,CAMISETA,93.0,93,27990.0,8.595996483960149e-05,White
990465,2,Moda,CAMISETA,Blanco,Blanco 10-0000,2 to 5 years,CAMISETA,317.0,316,27990.0,8.545930196195203e-05,White
990466,2,Moda,CAMISETA,Blanco,Violeta 17-3930,2 to 5 years,CAMISETA,139.0,139,27990.0,8.47208660788626e-05,White
990467,2,Moda,CAMISETA,Blanco,Rosado 16-2124,2 to 5 years,CAMISETA,108.0,108,27990.0,8.489745095403523e-05,White
990468,2,Moda,CAMISETA,Blanco,Verde 13-0220,2 to 5 years,CAMISETA,130.0,130,27990.0,8.283694884754713e-05,White
990491,2,Moda,CAMISETA,Blanco,Blanco 10-0000,0 to 24 months,CAMISETA,5.0,5,19990.0,8.411136344520145e-05,White
990494,2,Moda,CAMISETA,Blanco,Blanco 10-0000,0 to 24 months,CAMISETA,47.0,47,19990.0,8.411136344520145e-05,White
990497,2,Moda,CAMISETA,Blanco,Blanco 10-0000,0 to 24 months,CAMISETA,100.0,100,19990.0,8.496097317697123e-05,White
990500,2,Moda,CAMISETA,Blanco,Blanco 10-0000,0 to 24 months,CAMISETA,11.0,11,19990.0,8.411136344520145e-05,White
990503,2,Moda,CAMISETA,Blanco,Blanco 10-0000,0 to 24 months,CAMISETA,30.0,30,19990.0,8.139809365664656e-05,White
990560,2,Moda,CAMISETA,Azul,Azul 19-4125,6 to 16 years,CAMISETA,53.0,53,31990.0,8.572888966530147e-05,Blue
990561,2,Moda,CAMISETA,Azul,Gris Jaspe,6 to 16 years,CAMISETA,15.0,15,31990.0,8.411136344520145e-05,Blue
990562,2,Moda,CAMISETA,Azul,Azul 19-4125,6 to 16 years,CAMISETA,62.0,62,31990.0,8.691507556004149e-05,Blue
990563,2,Moda,CAMISETA,Azul,Gris Jaspe,6 to 16 years,CAMISETA,14.0,14,31990.0,7.850393921552135e-05,Blue
990564,2,Moda,CAMISETA,Azul,Azul 19-4125,6 to 16 years,CAMISETA,65.0,65,31990.0,8.411136344520145e-05,Blue
990565,2,Moda,CAMISETA,Azul,Gris Jaspe,6 to 16 years,CAMISETA,8.0,8,31990.0,8.411136344520145e-05,Blue
990566,2,Moda,CAMISETA,Azul,Azul 19-4125,6 to 16 years,CAMISETA,53.0,53,31990.0,8.255374560362364e-05,Blue
990567,2,Moda,CAMISETA,Azul,Gris Jaspe,6 to 16 years,CAMISETA,19.0,19,31990.0,8.411136344520145e-05,Blue
990570,2,Moda,CAMISETA,Azul,Azul 19-4125,6 to 16 years,CAMISETA,30.0,30,31990.0,8.139809365664656e-05,Blue
